Water Body Name,Location,Latitude,Longitude,Year,pH,Dissolved Oxygen (DO),Biological Oxygen Demand (BOD),Total Dissolved Solids (TDS),Turbidity,Nitrate,Coliform,Water Quality Index (WQI),Water Quality Category
AGARAM LAKE,"Bangalore Urban, Karnataka",12.958847,77.621171,2021,7.1658536585365855,4.787804878048781,4.716585365853659,427.5985365853659,22.515121951219513,2.4214634146341463,144756.01219512196,70,Good
AGHANASHINI RIVER MARIGADDE (SIRSI),"Kolar, Karnataka",14.520647,74.369385,2021,7.1875,7.465625,1.415625,161.26625,4.4934375,0.6203125,278.243125,85,Good
AGHANASHINI RIVER NR BRIDGE KUMATA,"Uttara Kannada, Karnataka",14.523667,74.3675,2021,7.25860465116279,7.490697674418605,1.4930232558139536,176.43581395348838,4.7048837209302325,0.6806976744186046,190.10581395348837,85,Good
AGRA (J.B.),"AGRA, Uttar Pradesh",27.20388889,78.035,2025,7.861352785145889,4.799655172413793,10.97893899204244,783.960875331565,20.19551724137931,4.549442970822281,162292.27387267904,50,Medium
AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,"FARIDABAD, Haryana",28.147824,77.180272,2021,7.105263157894737,5.705263157894737,4.3589473684210525,623.1373684210527,20.54263157894737,3.3542105263157893,122288.96105263157,60,Medium
AGRA CANAL MADANPUR KHADAR DELHI,"G.B. Nagar, Uttar Pradesh",28.546369,77.312597,2021,7.431904761904762,1.7428571428571429,13.330238095238096,546.2366666666667,86.12690476190475,4.51047619047619,4137501.903809524,40,Poor
AGRA(POIYAGHAT),"AGRA, Uttar Pradesh",27.25416667,78.02305556,2025,7.994712584153289,5.296644225789746,10.639093733816676,682.0264319005697,17.572563438632834,2.6034748834800623,56752.04192646297,50,Medium
AHMEDABAD-1 BENRAMPURA,"Ahmedabad, Gujarat",23.00557,72.583329,2021,7.576428571428571,6.311428571428571,2.092857142857143,169.98642857142858,8.064285714285715,1.0442857142857143,1296.8807142857142,85,Good
AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,"Ahmedabad, Gujarat",22.990861,72.533077,2021,7.461428571428571,6.364285714285714,2.0885714285714285,178.29285714285714,8.085714285714285,1.0614285714285714,1171.8807142857142,85,Good
AIANAKERE TANK,"Davanagere, Karnataka",14.794456,75.972682,2021,8.17175,4.8625,5.623749999999999,775.6945,27.294,2.85425,93555.8235,60,Medium
AIE NH XING,"BONGAIGAON, Assam",26.49660278,90.65384444,2025,7.896399999999999,7.126628571428572,4.624114285714286,187.55771428571427,72.29131428571428,1.5474857142857144,9325.9496,80,Good
AJAB BOURALI DAM PETLAVAD JHABUA,"JHABUA, Madhya Pradesh",23.012867,74.795587,2021,7.9628125,7.253125,1.7128125,247.0525,6.1809375,0.93,384.3921875,85,Good
AJAY RIVER AT MASANJORE DAM,"DUMKA, Jharkhand",24.112461,87.310836,2021,7.61875,7.690625,1.8634375,181.111875,57.43375,0.985,1234.2946875,85,Good
AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,"Vadodara, Gujarat",22.401206,73.388603,2021,8.091914893617021,7.406382978723404,1.6251063829787233,298.21702127659574,3.1627659574468088,0.642340425531915,33.02127659574468,100,Excellent
AKKIHEBBAL,"Mandya, Karnataka",12.59861111,76.40055556,2025,7.905576323987539,6.577538940809968,2.7441121495327105,222.66320872274144,6.01006230529595,2.57595015576324,49946.202429906545,85,Good
AKRAVATHI RIVER BEFORE CONFLUENCE AT SANGAM,"Bangalore Rural, Karnataka",12.668617,77.333821,2021,7.816428571428572,6.039285714285715,2.783095238095238,274.0254761904762,9.80404761904762,2.079285714285714,10366.650952380953,85,Good
ALAKNANDA A/C MANDAKINI AT RUDRAPRAYAG,"Rudraprayag, Uttarakhand",30.285854,78.978295,2021,7.712692307692308,9.432692307692308,1.3576923076923075,172.34153846153848,6.427692307692308,0.7153846153846154,830.2538461538461,85,Good
ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,"PAURI GARHWAL, Uttarakhand",30.140504,78.597358,2021,7.713793103448276,10.03103448275862,1.156551724137931,163.8144827586207,5.628275862068966,0.5937931034482758,683.2479310344827,85,Good
ALAKNANDA B/C MANDAKINI AT RUDRA PRAYAG,"Rudraprayag, Uttarakhand",30.287506,78.985451,2021,7.6838461538461535,9.301923076923076,1.3884615384615384,174.6846153846154,6.511923076923077,0.7176923076923077,955.3534615384615,85,Good
ALAKNANDA B/C TO BHAGIRATHI AT DEVPRAYAG,"PAURI GARHWAL, Uttarakhand",30.144753,78.601484,2021,7.743448275862069,9.782758620689656,1.1941379310344828,162.32758620689654,5.777241379310345,0.6241379310344828,722.7603448275862,85,Good
ALAPPUZHA KERALA,"Alappuzha, Kerala",9.50035,76.352417,2021,7.29375,5.8999999999999995,2.6352083333333334,553.0758333333333,5.888750000000001,1.0391666666666668,993.4358333333333,65,Medium
ALHI RIVER-NOG(NEAR WATER SUPPLY SCHEME INTAKE)TRIBUTARY OF RIVER SATLUJ,"BILASPUR, Chhattisgarh",31.3725,76.783889,2021,8.144,8.58,1.4376666666666666,214.06766666666667,4.470666666666667,1.0843333333333334,156.814,85,Good
ALI SAGAR RESERVIOR PROJECT AREA ALISAGAR (V) YEDAPALLY (M) NIZAMABAD DIST.,"NIZAMABAD, Telangana",18.688576,78.017669,2021,7.3185714285714285,6.864285714285715,1.7609523809523808,252.19738095238097,5.428809523809524,1.2902380952380952,158.29190476190476,85,Good
ALLASANDRA TANK,"Bangalore Urban, Karnataka",13.090595,77.585206,2021,7.853333333333333,5.293333333333333,4.562666666666667,370.24733333333336,28.216,2.3497777777777777,1172948.079777778,70,Good
ALOOR,"THRISSUR, Kerala",10.60305556,76.11111111,2023,7.1155,6.055,2.46,150.89749999999998,13.830000000000002,0.5685,1141.016,85,Good
ALUR KERE,"Hassan, Karnataka",12.979299,75.991309,2021,6.837692307692308,5.480769230769231,3.850769230769231,269.40153846153845,43.81923076923077,1.893076923076923,77134.77769230769,75,Good
AMARAVILA KERALA,"THIRUVANANTHAPURAM, Kerala",8.389375,77.097561,2021,6.58125,6.195833333333333,1.99875,164.93437500000002,7.394166666666667,0.833125,676.031875,85,Good
AMBA RIVER AT D/S OF WAKEN BRIDGE-U/S OF JS PETROCHEMICALS WAKENPHATA ROHA RAIGAD,"RAIGARH, Chhattisgarh",18.519528,73.158106,2021,7.72,6.905714285714286,1.7854285714285716,222.82085714285716,5.071714285714285,0.882,145.97114285714284,85,Good
AMBARAMPALAYAM,"Coimbatore, Tamil Nadu",10.63138889,76.94611111,2025,7.831459537572254,6.748988439306359,1.9034971098265896,185.51645953757225,7.775462427745665,0.7027023121387282,2979.791329479769,85,Good
AMBER CHERUVU KUKATPALLY RANGA REDDY,"Rangareddy, Andhra Pradesh",17.509406,78.399014,2021,7.559756097560975,3.7851219512195122,5.700731707317073,761.2331707317073,8.947073170731707,2.973658536585366,756.0568292682927,50,Medium
AMBIKA AT BILIMORA,"Navsari, Gujarat",20.772106,72.951625,2021,7.692391304347827,6.858695652173913,1.9539130434782608,686.8456521739131,10.664130434782608,0.6754347826086956,81.165,80,Good
AMBITTAMPOTTY,"MALAPPURAM, Kerala",11.41972222,76.24111111,2023,7.39,7.088235294117647,2.2694117647058825,45.74529411764706,40.593529411764706,0.5158823529411765,1003.1176470588235,85,Good
AMEENPUR CHERUVU AMEENPUR (V & M) SANGAREDDY DISTRICT,"MEDAK, Telangana",17.52554,78.334692,2021,7.170238095238095,5.811904761904762,3.4542857142857146,878.5895238095238,9.475476190476192,3.7390476190476187,144.8095238095238,60,Medium
AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,"Bharuch, Gujarat",21.701178,73.021733,2021,7.565416666666667,4.068333333333333,4.574375,493.9122916666667,10.212916666666667,1.268125,2062.4125,70,Good
AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,"Bharuch, Gujarat",21.631161,72.956485,2021,7.542708333333334,3.375833333333333,4.723333333333334,397.891875,9.989791666666667,1.4597916666666668,1039.2577083333333,60,Medium
AMLAKHADI CREEK AT PUNGAM.,"Bharuch, Gujarat",21.615413,72.941847,2021,7.539791666666667,3.705,4.2595833333333335,381.361875,9.093541666666667,1.3833333333333335,876.4033333333333,60,Medium
AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUKKULAM,"Dindigul, Tamil Nadu",10.541244,77.368656,2021,7.116216216216216,6.61081081081081,1.9232432432432431,267.6110810810811,6.4437837837837835,0.7591891891891892,191.91675675675677,85,Good
AMRAVATI AT VILLAGE DADHAL  TA ANKLESHWAR BHARUCH,"Bharuch, Gujarat",21.635384,73.064972,2021,7.905,6.683333333333334,1.96125,275.7033333333333,5.365833333333334,0.8164583333333333,246.96354166666666,85,Good
AMRAVATI RIVER D/S OF DONDAICHA DHULE DHULE,"Dhule, Maharashtra",21.326479,74.555815,2021,8.120000000000001,6.24,1.996,233.41,5.4719999999999995,0.9400000000000001,542.1560000000002,85,Good
AMRITPUR,"Nainital, Uttarakhand",29.29687778,79.56368611,2019,8.5,7.79,1.17,147.4,3.6,1.33,3778.17,85,Good
AMRUTHAHALLI LAKE,"Bangalore Urban, Karnataka",13.061563,77.597823,2021,6.948484848484848,4.736363636363636,5.762121212121213,465.3824242424243,28.626060606060605,2.7036363636363636,492084.8484848485,70,Good
ANAS AT DAHOD (KUSHALGARH) DIST. PANCHMAHAL,"Dohad, Gujarat",22.846264,74.291789,2021,8.21625,7.404166666666666,1.6935416666666667,266.319375,4.707291666666666,0.7235416666666666,144.635,85,Good
ANAS RIVER NEAR ROAD BRIDGE JHABUA,"JHABUA, Madhya Pradesh",22.769157,74.605708,2021,8.04,7.148936170212766,1.8048936170212766,260.80936170212766,6.120851063829788,0.9197872340425531,328.385744680851,85,Good
ANCHAR AT CENTRAL SITE,"SRINAGAR, Jammu & Kashmir",34.148469,74.788259,2021,7.4636000000000005,4.512,3.4671999999999996,251.9772,9.72,1.6203999999999998,1560.0883999999999,75,Good
ANCHAR AT JENAB SAHAB SOURA,"SRINAGAR, Jammu & Kashmir",34.143255,74.791976,2021,7.3096000000000005,2.168,6.6204,306.2636,13.7976,2.54,2562.5156,50,Medium
ANCHAR AT SANGAM,"SRINAGAR, Jammu & Kashmir",34.128455,74.780865,2021,7.360399999999999,2.852,5.7028,302.598,12.335999999999999,2.332,2315.1292000000003,60,Medium
ANCHAR AT SINDH INFLOW,"SRINAGAR, Jammu & Kashmir",34.144838,74.779268,2021,7.6331999999999995,6.327999999999999,2.6968,280.0376,7.8212,1.3980000000000001,1315.5272,85,Good
ANCHAR NEAR LKIMS,"SRINAGAR, Jammu & Kashmir",34.135421,74.796885,2021,7.418333333333333,2.2875,6.335,308.27375,13.677083333333334,2.4766666666666666,2476.2525,50,Medium
ANCHARAKANDY AT ANCHARAKANDY,"KANNUR, Kerala",11.872833,75.572092,2021,6.922916666666667,7.004166666666666,1.7170833333333333,166.4,5.988125,0.7454166666666667,616.3752083333333,85,Good
ANCHARAKANDY AT MERUVAMBA,"KANNUR, Kerala",11.873197,75.572064,2021,7.029166666666666,6.760416666666667,1.7683333333333333,166.29770833333333,5.930625,0.7566666666666667,545.93,85,Good
ANDHRAHALLI LAKE ANDHRAHALLI BENGALURU,"Bangalore Urban, Karnataka",13.011089,77.48633,2021,6.981578947368422,4.583947368421053,5.338421052631579,407.7613157894737,29.07605263157895,2.896578947368421,639650.4818421053,70,Good
ANEKAL DODDAKERE TANK,"Kolar, Karnataka",13.009104,77.931152,2021,7.195925925925926,5.564444444444445,4.121851851851852,474.8933333333334,21.054444444444446,2.564074074074074,81237.2711111111,70,Good
ANGADIMOGAR,"KASARAGOD, Kerala",12.68305556,75.00833333,2023,7.129333333333333,7.214666666666667,1.2113333333333334,32.95066666666666,19.423333333333336,0.76,1123.0166666666667,85,Good
ANGOL MI TANK,"Belgaum, Karnataka",15.815842,74.507282,2021,7.39,3.9576744186046513,5.109767441860465,312.46860465116276,12.614883720930232,1.9337209302325582,2939.5348837209303,60,Medium
ANIPUR,"KARIMGANJ, Assam",24.54361111,92.43305556,2003,6.720000000000001,7.91,0.935,66.955,39.239999999999995,0.165,114.775,85,Good
ANJUNEM LAKE,"NORTH GOA, Goa",15.616728,74.088381,2021,6.893260869565217,6.92608695652174,1.295,85.81652173913044,5.418913043478261,0.523913043478261,195.54,85,Good
ANKLESHWAR RESERVOIR AT GIDC ANKLESHWAR AT VALIA ROAD.,"Bharuch, Gujarat",21.609869,73.007261,2021,8.063617021276595,6.963829787234043,1.7570212765957447,322.66978723404253,3.4761702127659575,0.7231914893617022,115.72255319148937,80,Good
"ANNAMAYYA PROJECT ON CHEYYERU RESERVOIR, RAJAMPET","Kadapa, Andhra Pradesh",14.213423,79.017255,2021,7.75,5.791666666666667,2.749166666666667,398.47499999999997,5.9750000000000005,1.3358333333333334,395.5833333333333,75,Good
ANNAYAPPA TANK,"Bangalore Urban, Karnataka",13.007018,77.600463,2021,7.4590476190476185,6.145238095238096,3.055,210.76,22.129285714285714,1.665714285714286,95463.86571428571,80,Good
ANS RIVER AT KANDI,"RAJAURI, Jammu & Kashmir",33.360103,74.536523,2021,7.9,8.9,1.51,173.72,7.06,0.86,923.07,85,Good
ANSHUPA AT BISHNUPUR,"CUTTACK, Odisha",20.457192,85.607235,2021,7.345833333333334,6.8687499999999995,2.156875,128.74416666666667,11.099583333333333,1.1229166666666666,3309.023541666667,85,Good
ANSHUPA AT SARANDAGARH,"CUTTACK, Odisha",20.459844,85.603929,2021,7.304166666666667,7.1187499999999995,2.0083333333333333,129.79333333333332,11.768541666666666,1.0472916666666667,2530.851041666667,85,Good
ANSHUPA AT SUBARANAPUR,"CUTTACK, Odisha",20.447514,85.60627,2021,7.39375,7.041666666666667,1.9797916666666666,125.30708333333332,11.311458333333334,1.1172916666666668,2149.3589583333332,85,Good
ANSHUPA LAKE KADALIBARI,"CUTTACK, Odisha",20.464014,85.598992,2021,7.54375,7.060416666666666,2.0545833333333334,152.20479166666667,11.497083333333334,1.0718750000000001,2323.4741666666664,85,Good
"ANUMULA PALLY CHERUVU, ANUMULA PALLY (V),RACHERLA (M)","PRAKASAM, Andhra Pradesh",15.493306,78.963639,2021,7.824166666666667,7.125,1.6908333333333332,197.26166666666666,4.125,0.8258333333333333,82.41666666666667,95,Excellent
ARAKERE LAKE,"Bangalore Urban, Karnataka",12.88373,77.598226,2021,7.1906060606060604,4.822727272727273,4.918181818181819,431.54545454545456,29.599393939393938,2.526060606060606,268745.80818181817,70,Good
ARANGALI,"THRISSUR, Kerala",10.28611111,76.32222222,2022,7.0135555555555555,6.82425,1.0645555555555555,38.352833333333336,13.17461111111111,0.35047222222222224,1143.386861111111,85,Good
ARASALAR RIVER KARAIKAL REGION,"Karaikal, Puducherry",10.9098,79.818228,2021,7.717272727272728,5.320909090909091,2.683181818181818,221.29863636363635,8.55590909090909,1.076818181818182,1303.4040909090909,80,Good
ARKAVATHI AT D/S OF KANAKAPURA TOWN,"Bangalore Rural, Karnataka",12.535417,77.424792,2021,7.138222222222223,4.927111111111111,3.6444444444444444,278.43222222222226,16.994222222222223,2.956888888888889,44681.061111111114,75,Good
ARKAVATHI AT HESARAGHATTA RESERVOIR,"Bangalore Urban, Karnataka",13.144364,77.484511,2021,6.906585365853659,5.614634146341463,3.240731707317073,188.59073170731708,18.95926829268293,2.0365853658536586,184773.50560975607,75,Good
ARKAVATHI AT T.G. HALLI RESERVOIR ,"Bangalore Urban, Karnataka",12.967039,77.337053,2021,7.297826086956522,5.278260869565217,3.270652173913043,277.56717391304346,12.450869565217392,1.909782608695652,24288.867391304346,75,Good
ARNALA SEA ARNALA VASAI THANE,"Palghar, Maharashtra",19.452095,72.747609,2021,7.6000000000000005,4.261111111111111,3.058333333333333,211.47972222222222,9.124166666666667,1.3597222222222223,1065.4747222222222,75,Good
ARNOTA,"AGRA, Uttar Pradesh",26.9625,78.3625,2022,8.33375,6.07,3.5475,554.5,34.0,2.435,4790.185,65,Medium
ARPA RIVER D/S OF BILASPUR CHHATISGARH.,"BILASPUR, Chhattisgarh",22.069453,82.190639,2021,8.385714285714286,6.328571428571428,2.48,270.4517142857143,27.813428571428574,1.5985714285714288,378.5425714285714,85,Good
ASANGI NALLA AT ASANGI VILLAGE,"Bagalkote, Karnataka",16.503131,75.116569,2021,8.049999999999999,6.8537037037037045,2.322962962962963,258.717037037037,10.511481481481482,1.3596296296296297,1508.7103703703704,85,Good
ASANI KUNTA KAJIPALLY MEDAK,"MEDAK, Telangana",17.551992,78.346794,2021,6.964634146341464,2.8382926829268293,9.729024390243902,3011.3148780487804,56.75780487804879,7.44219512195122,422.3414634146341,40,Poor
ASHRAMAM,"Kanyakumari, Tamil Nadu",8.158333333,77.46,2022,7.093116883116883,6.347792207792208,1.5425974025974025,157.1518181818182,8.036753246753248,1.31,697.8446753246753,85,Good
ASHTHAMUDI LAKE AT QUILON KERALA,"Kollam, Kerala",8.918669,76.610461,2021,7.329166666666667,5.085416666666666,4.410833333333334,2518.99375,3.5714583333333336,2.0675,479.375,60,Medium
ASHWANI AT U/S YASHWANT NAGAR,"SIRMAUR, Himachal Pradesh",30.892361,77.210569,2021,7.839268292682927,7.392682926829269,1.6107317073170733,254.24146341463413,5.059756097560975,0.7807317073170731,105.78268292682927,85,Good
ASHWANI RIVER   SADHUPUL (U/S OF BRIDGE TOWARDS CHAIL.),"SOLAN, Himachal Pradesh",30.993685,77.160996,2021,7.736923076923077,7.061538461538461,1.6207692307692307,248.40653846153845,5.072307692307692,0.7619230769230769,82.0773076923077,95,Excellent
AT DAMAN JETTY MOTI DAMAN,"Daman, Daman & Diu",20.410861,72.834194,2021,7.710416666666667,5.6625000000000005,2.7114583333333333,822.9964583333334,5.468958333333333,1.1147916666666666,324.92291666666665,65,Medium
AT LAVACHA TEMPLE SILVASSA,"Valsad, Gujarat",20.298797,72.976956,2021,7.906304347826087,6.413043478260869,1.9243478260869564,214.46826086956523,4.9871739130434785,0.8778260869565218,233.34065217391304,85,Good
AT NAROLI BRIDGE SILVASSA,"Dadra And Nagar Haveli, Dadra & Nagar Haveli",20.272097,72.985656,2021,8.00125,6.5874999999999995,1.8191666666666666,215.71,4.659791666666666,0.7825000000000001,273.82729166666667,85,Good
AT VILLAGE NAMDHA VAPI,"Valsad, Gujarat",20.363842,72.883264,2021,7.613125,4.970833333333333,3.0529166666666665,371.31125,7.897083333333334,1.3072916666666667,1897.1752083333333,70,Good
AT ZARI CAUSE WAY BRIDGE DAMAN,"Daman, Daman & Diu",20.376011,72.877035,2021,7.528085106382979,5.159574468085107,2.9844680851063834,465.9836170212766,7.836170212765958,1.3493617021276596,2040.2436170212766,75,Good
ATHARABANKI CREEK,"JAGATSINGHAPUR, Odisha",20.289536,86.649164,2021,7.25,4.960869565217391,3.3947826086956523,511.51456521739135,13.796739130434782,1.4506521739130436,4384.629347826087,60,Medium
AUGUSTMUNI D/S,"Rudraprayag, Uttarakhand",30.39222222,79.02194444,2025,7.5405319148936165,7.9278191489361705,0.9514893617021276,68.6831914893617,21.21851063829787,0.5642021276595746,1024.0007978723404,85,Good
AUGUSTMUNI U/S,"Rudraprayag, Uttarakhand",30.40027778,79.04166667,2025,7.483015873015873,7.9990476190476185,0.8664021164021164,68.55751322751323,20.592275132275134,0.6258730158730159,1036.7185185185185,85,Good
AURAIYA,"AURAIYA, Uttar Pradesh",26.42805556,79.47888889,2025,8.39706168831169,6.68064935064935,3.6350324675324672,446.23605519480515,20.941217532467533,2.2374837662337663,32073.381477272724,75,Good
AVALI KERE,"Haveri, Karnataka",14.451766,75.379844,2021,7.725641025641026,4.017948717948718,5.273589743589743,778.6917948717949,9.183333333333334,1.9123076923076923,3554.871794871795,60,Medium
AVERSHE,"Udupi, Karnataka",13.52138889,74.88,2022,6.896145833333333,6.962708333333333,1.0704166666666668,47.094166666666666,13.546875,0.3197916666666667,681.52125,85,Good
AYILAM ,"THIRUVANANTHAPURAM, Kerala",8.715277778,76.85416667,2022,7.004746835443038,6.611424050632912,1.1650949367088608,46.55113924050633,12.828037974683545,0.3325632911392405,715.912658227848,85,Good
AYIROOR,"THIRUVANANTHAPURAM, Kerala",8.779444444,76.71777778,2023,6.86,7.0055555555555555,1.8644444444444446,49.769444444444446,11.988888888888889,0.5772222222222223,1047.2222222222222,85,Good
AYOOR,"Kollam, Kerala",8.891944444,76.86638889,2023,7.083333333333333,7.383333333333334,1.5244444444444445,41.45388888888888,16.916666666666668,0.67,999.4444444444445,85,Good
AYUR KERALA,"Kollam, Kerala",8.860786,76.77355,2021,7.189583333333334,6.7,1.8522916666666667,180.31791666666666,5.620208333333333,0.9125,395.6610416666667,85,Good
Aadibadri,"Chamoli, Uttarakhand",30.15611111,79.22638889,2022,7.845,7.725,2.2725,71.425,2.295,8.75,369.6025,85,Good
Aagrakhal,"Tehri Garhwal, Uttarakhand",30.21305556,78.3275,2023,7.955,6.9,2.1350000000000002,182.5,6.475,2.75,22723.775,85,Good
Abu Road,"SIROHI, Rajasthan",24.49361111,72.79027778,2016,8.0971875,7.613125,3.9675000000000002,453.875,19.4065625,1.9796875,4944.7834375,75,Good
Abu Road -Duplicate,"SIROHI, Rajasthan",24.49361111,72.79055556,2024,8.008709677419356,7.262903225806451,3.728951612903226,594.5914516129031,18.561370967741937,3.7086290322580644,11925.628467741935,65,Medium
Adarsh Gaon,"GANGTOK DISTRICT, Sikkim",27.23194444,88.49194444,2025,7.283333333333334,5.3,2.0900000000000003,79.42166666666667,12.478333333333333,1.015,1495.7266666666667,80,Good
Adhala Dam,"Nashik, Maharashtra",19.64305556,74.03416667,2024,8.4,6.366666666666667,5.308333333333334,221.91666666666666,1.3333333333333333,0.8783333333333333,405.0833333333333,80,Good
Adityapur,"PASHCHIMI SINGHBHUM, Jharkhand",22.79138889,86.17361111,2025,7.702084168336674,5.487835671342685,4.600961923847696,219.53759519038076,10.6087374749499,3.100501002004008,3800.3138677354714,75,Good
Aheri (Gudem Bridge) ,"Gadchiroli, Maharashtra",19.41666667,79.97222222,2025,7.4790625,6.66328125,2.644296875,274.84296875,15.308125,1.1734375,2674.595390625,85,Good
Airani,"Haveri, Karnataka",14.60583333,75.80527778,2022,7.25,5.13,2.18,86.0,11.51,1.06,1412.95,80,Good
Akbarpur,"AMBEDKAR NAGAR, Uttar Pradesh",26.42916667,82.54861111,2025,7.863009259259259,5.9232407407407415,3.8156018518518517,332.5425925925926,4.932546296296296,2.532916666666667,6960.354907407407,70,Good
Akhnoor,"JAMMU, Jammu & Kashmir",32.90083333,74.75888889,2025,7.486498002663115,9.683541944074568,2323.7817709720375,141.3560585885486,5.261651131824235e+55,1.035126498002663,1.376271637816245e+34,70,Good
Aklera,"JHALAWAR, Rajasthan",24.42972222,76.60388889,2024,8.320625,6.07525,3.464875,248.092,36.676375,1.494625,41051.28125,80,Good
"Alaknanda River, Chamoli","Chamoli, Uttarakhand",30.74543889,79.49201667,2022,7.486666666666667,8.313333333333333,1.4966666666666668,22.599999999999998,87.73333333333335,2.233333333333333,2024.7700000000002,85,Good
Alandi Dam,"Nashik, Maharashtra",20.11666667,73.69138889,2024,8.185,6.166666666666667,3.3725,160.75,1.4916666666666665,0.6775000000000001,176.0,80,Good
Alandurai,"Coimbatore, Tamil Nadu",10.95194444,76.78527778,2024,7.741481481481482,6.2229629629629635,2.2474074074074073,123.58314814814814,21.370555555555555,1.1116666666666666,23906.10814814815,85,Good
Aldona Bridge(Ferry Point),"NORTH GOA, Goa",15.59333333,73.87666667,2024,7.45,4.366666666666667,0.7333333333333334,378.84,4.5,0.96,2400.0,75,Good
Alipurduar,"ALIPURDUAR, West Bengal",26.49333333,89.52833333,2019,7.257894736842106,6.573157894736842,0.8089473684210526,79.50736842105263,17.39578947368421,1.2142105263157894,1827.337894736842,85,Good
Alladupalli,"CUDDAPAH, Andhra Pradesh",14.71722222,78.66861111,2025,7.940193905817174,6.001024930747922,3.0275069252077564,539.7080886426593,52.30623268698061,1.865207756232687,3074.59271468144,65,Medium
